Gene,01674b2c-5cf2-478f-84a1-f69c39f47bd4,016caf42-4e19-4444-ab5d-6cf1e76c4afa,01eef340-598c-4205-a990-cec190ac2ca5,029ce650-5e5a-4100-8596-cd94300e7ef5,045c13ef-3db7-4adf-b0a3-23338f0479f3,05506f4c-e701-4a9d-ae06-97f066aade43,0685edd2-ce1c-4e0e-8dda-393139af4223,08da7c4c-3067-4bcf-9d7a-78566df72e69,0dca98b0-f43e-45b6-9a02-00092c78678c,0ec70e40-07df-461d-8ff9-351240a0d454,124b693c-77dc-4fa8-b703-54e8b5054a92,128d198e-9b22-427c-90db-3714455f3a17,13b860c3-8048-4dc9-9eb0-7480bc660837,1549dc64-3dab-43fc-96e9-b07d520957e1,18d35983-ea6a-4b70-a209-9bef37595956,18eb4dfc-556f-4bf3-a411-4780209ed1e0,1c3610f7-e0aa-48d7-9a27-0dbaf6e244f9,1c40b84e-a0e3-429f-a48c-21566cf881c0,1d27253f-b036-44e7-a04d-8da5bbf57419,20e8106b-1290-4735-abe4-7621e08e3dc8,2192c1db-4718-4254-ba42-3ae7f30ad5a8,23c31c2e-336c-4878-a476-cf8d811b4875,23e7a78a-1d56-4ad1-9bb4-72ec0178aff2,295cf595-4a29-46a3-a0c5-e5f08f947031,2a84997d-ccee-4f46-bea2-752534f26416,2dc1cec9-925a-417f-9e21-3c2143e711b4,30ec8b1f-28c4-4f46-8a1b-a8d51e558c7d,324bcba2-f6a4-45a6-807c-215bdffcca21,328dfcb0-b5ae-43f2-bc87-dad0ab3df9e7,3558dec7-eae3-4a41-a217-266c6a4535fb,359f12f9-5c41-48a4-85bc-fd7e307bf7d8,35bd694d-1dd2-466f-ab27-03320614b40e,376ffe63-efd7-42af-90e1-261255b28bb7,3886b4fb-ba22-4a50-b11a-a6893951f170,389e5b18-8f89-41a9-9fa5-efd4172836e2,398fb71b-ca83-44e7-bf0d-b1ca464b0283,3af31fcf-ad0c-4fd9-a8e3-10f9176b5e9d,3afa1e93-1df8-4e4c-aaa4-557463f4bb77,3b7b9c1e-a84c-47ed-983c-9e4b00cbf01a,3e9f93c0-aa79-4b4c-bd6c-b3325912362a,3f834fa7-6d7b-4b85-98c0-5c55d55b6c95,408cb583-6dc3-4698-8bd2-e284042bd5ef,495f9eda-b9be-4eef-bae1-766a4bfbd68e,49717f75-0f2d-4e1c-9a12-f1cd7877b80a,4ac693e9-10f3-46b3-9d46-df3af7b0d259,4bf50455-9ab7-4521-a791-089f66d3b877,4d51159f-ab2f-40e3-a363-847c3654431e,4da999a0-ef41-4a0b-b1d1-446b39cc855a,4f608829-ffc4-4527-886e-6bc764ab29f5,4fba3deb-db94-44b5-a0f2-a575d270779e,521e2140-ae5b-456f-8699-97398d009687,53886143-c1c6-40e9-88e6-e4e5e0271fc8,546248b0-22a0-4b70-a437-76fb0a238a0d,56033839-35d5-4d72-8b8c-400cb345263d,5700c1b3-922a-4401-8ab8-89028908d696,57af5c72-0d60-4a6b-b1b4-ec6dab90f80f,58090433-d8d1-4499-a235-810c3e9d5b74,5a17dcd9-5ced-4a69-8069-23c7fd0649d1,5a57dc25-d252-4b22-b192-4de630d7002f,5cbf0aea-ebb4-4005-bdd5-14ef2dc6826c,5ed024e8-d05e-4c65-9441-eda9930ccc82,5fd9552a-c742-4388-940d-295d1107ae00,623befd6-0ca4-4a6c-9cf5-d9385c3b718f,6412854a-f874-469e-9d1f-8bd3ae5bd41d,6429c443-8ac3-407f-bb9c-66420b904bbf,65cac997-4d39-4501-85ec-4fcb328a8eb5,6644fd4e-d2fe-4785-a73c-0f36fcc740e2,66fa504c-4ae4-49ac-9355-1e063776dc0d,67c5f371-3fa9-47c5-8b15-c2dd9acc8519,6956473b-92e5-4069-a26b-b48e280e76f2,6b923e30-2ddc-407f-91b1-c202f1373fbb,6b960b58-28e1-41c6-bd6e-7e669c6aa4ef,6c0066e3-96df-4870-bcd3-98cda64082e9,6e6b7742-a562-490b-bb72-04a5653852e4,6fa2a667-9c36-4526-8a58-1975e863a806,6ffd1b8c-6f0b-456a-9160-e0c8021e5897,70ab4f23-23c4-409f-a5cc-18a010c3a24e,71f97b63-c970-44ee-98c2-e02e663d5a40,72e486b8-a866-4916-b2e4-8b4bb5dcd92d,747083ff-0703-431b-aad4-f2adff739516,752ad011-79e0-494f-9868-98bf6feb28f8,75b3fe55-1a63-426e-867e-2ef52f54778d,786e8dbe-442e-4551-87b3-b4c333b04dd4,790ff5db-b7f3-4946-aaed-305f66b1dd6a,791c5768-f0f5-4ab6-86eb-998e5c4b49e3,7e1673f8-5758-4963-8804-d5e39f06205b,7f2a63e6-64d5-4be1-9814-e8416fc9e688,8183f0fb-2303-4d7b-bccd-55e5031fc7df,88db1340-e4bf-451a-87c0-6e9168296f5e,89128dba-403f-4a96-bb3b-23ed0d5e2147,8c09f413-e938-4f2e-a414-84f0e7fcfe41,9087585f-e792-4f33-baaa-56ffe0f745be,91a2f2af-e4b1-4a0b-ab20-6a36ce63c533,92b5de82-0221-4df1-8094-80f40c0bb4fa,9416ff9b-6f29-4554-b04d-b537a3ae3969,959ff069-8a49-4c9b-85c2-5291cac0acff,95c53f69-0f05-4348-822a-571f3d757001,96312510-c126-485d-8109-ed81844a1dc3,972447aa-4332-47e7-bddd-2eb699dbb664,97943d87-fed7-4f14-a0a7-c5bfee64c392,9848307d-1bd5-40c1-b655-a33297aaf74f,98e0b4de-52fc-4945-9bf5-11e29368f939,98e709e7-e195-4b37-9537-f6081affb609,9938ce5c-e74e-446e-a932-f096f85cc3b1,99e32c59-aa73-43fa-88c9-399ddadb2c72,9d166970-07c8-4ca3-9cfa-ed0049df9ecc,9d95a65b-e41d-4f93-92d4-99dce29ff40d,9f6be944-83de-42ab-8738-f0022f475e61,a1da9db1-db11-4f4d-a249-c738db81b87e,a482fc4c-ff1d-46a0-a968-7df06422cc4b,a4c59287-1ad5-46a5-8040-e591e6ce064f,a5b44d66-c162-46b5-9df2-86305f0385c5,a6e11b30-3ae8-4dd1-b04c-a730c6a79746,a6edb6ca-ae9f-4da7-8ebe-92d83d2987fb,a78b04b4-2380-4803-963e-e4e633cd69ab,a82d0a57-4383-473d-b334-d13b278404b1,a855c228-a263-44df-87a0-cbc32187e3f5,a8e7d8a4-bbf0-496b-b387-8e014cfdcea6,a9b7d7fe-be31-4f71-afee-c1bfdf511888,a9bb8159-32f0-454c-a946-b3286a52b9d5,aa4244a8-0454-4247-a1c3-357fd51746fa,aa60fa8d-c374-40e0-af2d-b007701e67e3,ab89bb2e-da84-4116-a8cd-49aad7bbfd4d,ac075bc0-1b59-4557-beea-541694faee03,ac68d219-5670-4ddd-8df6-8aa7ad59e5c7,ad18820b-a804-49c0-ba8a-86c09fa6bce2,ae65baeb-6b78-492a-8c63-bb7e93e83dc2,b094e8b2-8ece-4b36-8025-18073a8b873c,b2ecbc0f-2c30-4200-8d5e-7b95424bcadb,b343bfe0-7c23-4c6a-8c84-9ee39db2ecda,b58ad350-5140-4fa8-bc2c-24bca8395f3a,b6633c36-7ce4-4b69-9bf6-30b64d46c66f,b7f74ae1-6f58-447c-be50-a7666eb19d9a,b8aefc48-4a6e-4254-a57f-5f688399b582,b97bf89a-7a85-4eef-ae7e-f787aead1f0a,baf1207d-7d1a-4cad-ba58-62c26be2415e,c3a981c7-f148-4252-bd50-af8a49ec0df8,c49e3b18-fd88-48f4-8b01-300692ceb367,c70ee5e1-4703-4996-bb5c-f4cca0fb53ba,c72cb184-462d-4009-9cdb-848782ff8a76,c8f39325-5382-447c-9291-a6915fc978b8,ccb22ecc-6e18-44b8-ad48-6ab51314b16e,ccd4a24b-d8cc-4686-9dee-c98b0c5a8d21,cf9db1af-17f0-490e-8139-142bd704763a,d093173f-08ab-4138-bf3c-399c45a6e163,d2f2560c-ec80-4fea-9474-c47a2e85ea95,d3d545b3-457f-4389-821f-704cb24aff7f,d6f7afc0-1558-43ad-acb1-2b5311ed2264,d7308344-5bab-4073-bb4f-4d8cd8d7bd17,d8ecba6a-9fff-4993-a799-9a8d2aea524e,d9fd2724-7db0-4af3-ac14-217bdfa5203f,db4bc6aa-2e7d-4bcb-8519-a455f624d33b,dbf6f981-15cc-40ad-91ac-a66360405fbd,dcd5e079-813a-4c1a-b320-0931468d2bbc,deba32e4-0e68-4711-941b-3b63bd965afb,dfaabd03-2d40-4422-b210-caf112ff4229,e0b1bcd2-1139-44b9-98b3-67bcf92bcc39,e3935ce4-64d3-4a66-ba11-d308b844b410,e783e518-c1e5-4eac-8eaf-e2d65ccd9692,e8ea576b-eb16-44f7-b241-daefc1375388,e9f4f373-37a5-48ad-a1a0-b0d47820111a,ea645243-df49-4466-a255-9f3d4321e357,eb2dbb4f-66b6-4525-8323-431970f7a64e,ebc460c2-df88-4dc0-a2c0-aca8072b75ad,eda6d2d5-4199-4f76-a45b-1d0401b4e54c,ef4cbd38-bc79-4d60-a715-647edd2ebe9e,f06f09f3-8133-4a92-ac86-fbe64295e0d8,f0d8a1fe-e313-44f1-99cc-b965cbeeff0e,f1692f4b-ce1b-4fc5-ac55-1022ecae0d1e,f2e28af9-c40e-41c4-9e82-205cca38f26a,f55dd73d-8c36-440b-84e5-9aae53107775,f81ac8a2-4ce6-439e-b027-1c0bfc88ceaa,fc18d029-9be2-4fa0-9aef-6d647dc55f0b
CYP4Z2P,0.3684,0.0,0.0441,0.0143,0.0143,0.0,0.2529,0.2203,0.0095,0.0744,0.0108,0.6377,0.0097,0.0,0.0103,0.0,0.0935,0.4803,0.0,3.9277,6.808,0.0,0.0767,0.4302,0.6013,5.1529,0.1236,0.0,0.1006,0.0179,0.0691,0.0267,10.4605,0.0,0.0756,0.0115,0.256,0.1635,318.4235,0.0,1.9563,0.6814,0.0915,0.0721,0.1363,0.1523,67.2098,0.0106,0.0,0.0,0.0223,0.021,0.0,0.0461,14.8657,0.1112,0.0,0.1399,0.0206,0.0,0.3896,0.0118,5.4938,0.0095,0.0811,0.0423,0.0188,3.8348,0.0362,0.1619,0.0,0.1852,0.1419,1.9623,0.0,1.4702,0.666,0.0784,0.0,0.0,0.5448,0.0,0.0,0.0,0.2489,0.1349,58.1513,0.0095,0.3636,0.0245,0.0161,0.0,0.0578,0.0844,13.2237,20.3283,0.0796,0.0091,0.0,0.009,0.1238,0.1491,1.1723,0.0838,0.0819,2.0601,0.0625,0.0206,0.0,0.2264,0.1152,0.0102,0.5523,0.3669,0.0415,0.0147,0.0649,0.0107,0.0,0.0336,0.0472,25.6499,0.0,0.0,5.9091,0.0155,0.0,0.0176,0.024,14.4715,0.0102,0.0158,0.2382,15.1779,18.3246,0.0,42.2931,2.7317,0.0357,0.0575,0.031,0.0237,1.2684,0.0175,0.0596,25.8373,0.0,0.0,4.7314,5.4162,0.0122,1.6361,0.2052,28.8386,0.0328,0.0499,0.0215,0.1283,0.1361,0.0109,0.0809,0.0,0.0,0.0105,0.0079,0.0447,0.8268,0.0328,0.0212,1.4411,0.0,16.8955,0.011
TCN1,1.394,0.0375,0.4232,1.4448,0.1373,0.0282,668.1213,3.8337,0.5471,0.0991,0.0345,0.6009,0.7255,0.1182,0.055,0.0988,3.3687,0.377,0.039,3.5331,0.0656,0.0144,1.7155,8.0316,81.037,21.6719,0.4151,1.1805,0.4286,0.0286,0.4788,0.2413,3.4303,0.0102,1.0069,0.0123,8.2882,0.3702,14.8805,256.9869,0.323,0.6392,0.0867,0.0192,7.7897,0.0927,0.9164,0.0113,0.0695,0.0,1.6014,0.4368,27.4783,0.3831,2.2197,0.6281,0.0668,246.7708,12.6141,0.0102,353.1657,11.5349,1.611,0.0508,4.566,0.0676,1.714,8.3375,1.1555,1.2563,0.0105,0.0,1.6761,0.7317,0.0241,1.2276,1.5963,0.1671,0.048,4.7502,0.5521,0.1117,0.023,0.1408,0.0994,0.4885,3.4263,0.0811,0.043,0.3916,0.0515,0.1081,184.0605,0.2897,0.4088,28.8404,5.7571,259.6329,0.0344,0.0479,0.0,0.1235,0.7771,1.3388,0.8099,0.268,0.2885,3.3543,0.2102,2.9058,0.2352,0.0218,0.0706,1.9899,0.5747,0.7518,27.9043,9.9441,0.0,1.2777,0.0922,0.3766,1.2872,8.5877,0.052,0.6924,3.8907,0.0845,0.1879,0.2865,0.0,0.3034,2.1572,0.2085,2.0952,0.8608,2.6061,2.2077,0.4694,0.2756,0.0826,1.7581,2.3614,0.0465,0.1747,0.8472,0.6509,0.0441,13.7023,12.6327,4.3876,5.2509,1.4507,0.0359,0.035,0.1951,0.0918,3.6896,9.8996,16.4382,1.2584,0.0115,0.1116,44.1461,0.0589,59.7261,3.0829,0.0436,0.1578,15.8755,0.0165,0.5329,0.0351
DHRS2,0.0836,0.0,0.0394,0.0576,0.1155,0.0225,0.0294,0.039,0.107,0.0513,0.2037,0.0182,0.0454,0.3043,0.0482,0.0689,0.3935,0.11,0.035,0.1795,92.1811,0.276,0.0081,0.1394,335.6807,8.7538,0.0262,0.1355,0.008,0.0095,0.0367,0.0311,0.521,0.0385,0.0615,0.0122,1.0991,0.0499,0.0223,0.3816,180.9934,0.1965,0.082,0.0325,0.0368,0.0416,3.7646,0.151,0.0138,0.042,0.0686,0.0379,0.0247,0.0039,0.1135,0.052,0.1376,0.3509,0.0786,0.0041,0.0525,0.0175,0.2195,0.0689,0.1751,0.3347,0.036,0.3545,0.4375,0.1276,0.0272,0.0056,0.1177,20.026,0.0048,0.3417,9.0623,0.0238,1.3374,0.0218,0.0762,0.0965,0.0161,0.004,1.2651,0.2978,68.976,0.0121,0.0429,0.0624,0.1162,0.1355,0.0102,0.0299,0.0139,0.3025,0.0211,0.1251,0.0114,0.0286,0.0335,0.0387,0.2074,0.1798,0.1167,3.6921,0.1437,0.0263,0.2467,0.1322,0.0571,4.7761,0.2298,0.1487,0.1013,0.078,0.0315,0.1,0.0258,0.0286,0.0301,600.2969,0.072,0.0447,0.0035,0.1741,0.0079,0.0393,0.0732,315.8962,0.0065,0.005,0.1481,18.9636,16.244,17.5263,57.056,0.4571,0.0379,0.061,0.441,0.0989,0.0157,0.0019,0.1519,70.509,0.0142,0.041,0.0171,3.5449,0.1138,1.5227,0.0436,135.9697,0.0523,0.1414,0.1722,4.7827,0.0867,0.1662,0.1237,0.0297,0.0636,12.2591,0.0201,10.9107,0.5379,0.047,0.1782,62.3598,0.0197,35.96,0.1304
COL9A1,0.1362,0.0045,3.0685,0.674,0.0073,2.2765,0.0146,1.2713,8.9258,44.585,74.0035,0.0156,8.0834,0.209,0.0527,0.0059,1.8882,0.0,3.9491,0.0531,0.022,0.5667,0.0033,0.0,0.0043,0.1015,0.0049,0.0031,0.0,0.2947,0.0206,3.8087,0.04,0.0293,0.0064,0.4376,0.0,0.0078,0.0045,0.0031,0.0075,0.0052,0.2621,0.0,0.0032,0.0028,0.1039,2.4867,0.459,0.6779,0.0824,0.4856,0.0099,67.4672,0.0092,0.2271,0.0213,0.0022,0.1434,0.0196,0.0019,0.1982,0.0073,0.0974,0.1139,0.0081,3.4334,0.02,0.1476,5.0952,0.0151,0.0,1.4315,0.01,9.3767,0.0051,0.0,0.0,0.161,0.0,0.0373,0.0476,0.684,0.0988,0.0238,0.0103,0.0,0.0,0.0026,0.0438,0.0082,0.0074,0.1352,0.0263,0.0,0.1194,0.0229,15.8569,0.2585,0.0115,0.0,0.0127,0.0033,0.1615,0.0537,0.0153,0.0133,0.793,0.0028,0.0809,0.2989,0.9059,0.0197,0.9193,0.1562,0.559,0.3736,0.0027,0.7783,1.4903,0.1908,0.0436,0.3435,2.5368,0.0083,1.781,0.1091,0.108,0.0655,0.0229,2.487,2.7474,0.0304,0.0182,0.0145,0.0,0.0104,0.0,0.5318,0.4304,0.0079,0.129,0.0126,0.0268,104.7072,0.0,0.0,2.3839,0.0205,0.0164,0.0,0.0972,0.0095,0.0043,1.5726,25.9493,10.8671,0.0777,0.0347,0.0055,0.0186,44.2093,0.0,0.1579,0.0222,0.0046,0.0204,0.0941,0.0972,0.0078,2.1918,0.0236,0.3191
HEPHL1,0.1398,0.0194,0.3983,0.1257,0.3151,0.3204,0.0269,0.1549,0.0549,0.1739,0.1394,0.0202,0.198,0.3169,0.287,0.4561,0.1843,0.0765,13.7083,0.1825,0.0643,0.1602,0.0492,0.2242,1.792,0.1806,0.1124,0.8946,0.37,0.0886,0.1617,0.209,0.0479,0.0973,0.104,0.0538,17.0275,0.1293,35.3004,0.0202,0.1211,0.0084,0.0475,0.0372,0.1943,0.1646,0.117,0.0701,0.0333,0.0661,0.0827,0.0492,0.016,0.0457,0.2118,0.2479,0.2244,0.1973,0.3506,0.0952,0.0763,0.5601,0.445,0.0315,0.0818,0.0553,0.1061,0.0359,0.1194,0.1654,0.1002,0.097,0.0319,0.2915,0.1495,0.0874,0.7328,0.0092,0.2058,0.0564,0.0877,0.0865,0.1368,0.6805,0.2953,0.1818,0.1449,0.0707,0.4001,0.1348,0.1816,0.6303,0.1087,0.0697,0.0386,0.009,0.1287,0.3292,0.0771,0.0272,0.3963,0.1503,0.3153,0.2407,0.0676,0.0297,0.2349,0.2698,1.7579,0.3798,0.4621,0.0084,0.3069,0.0092,0.0457,0.1132,0.2472,0.1237,0.0377,0.0863,0.6624,0.0838,0.0379,0.1241,0.1523,0.1022,0.1662,0.2376,0.2028,0.0035,0.3966,0.0435,0.0843,0.093,0.1873,0.1341,0.0449,7.3074,0.0688,0.0843,0.0426,0.0478,0.1558,0.0409,0.0656,0.0333,0.4884,0.038,17.7922,0.0705,0.3855,0.0764,0.0308,0.0626,0.2528,0.3847,0.1067,0.5866,0.0963,0.1735,0.2092,0.0385,0.07,0.0663,0.1064,0.2905,0.0587,0.0,0.0679,0.0506,0.204,0.0153,1.4033
MYOSLID,0.2812,0.031,0.0355,0.0359,0.18,0.0843,0.0698,0.0739,0.1148,0.0,0.0,0.0432,0.0636,0.0815,0.0779,0.0991,0.0235,0.0445,0.0184,0.0196,0.031,0.0272,0.0579,0.2221,2.7473,0.4954,0.043,0.0424,0.0063,0.063,0.0406,0.1206,0.2626,0.0529,0.0444,0.0,2.5325,0.2262,0.3791,0.1045,0.1427,0.1995,0.1176,0.0317,0.0997,0.1094,0.1535,0.0427,0.0469,0.0213,0.14,0.0423,0.0877,0.0232,0.082,0.1846,0.0,0.0836,0.031,0.0822,0.147,0.0296,0.2551,0.0528,0.0272,0.0426,0.0237,0.4461,0.0727,0.1338,0.0297,0.0444,0.1038,0.0197,0.0057,0.06,0.1224,0.0732,0.1179,0.043,0.0468,0.0879,0.0489,0.133,0.0783,0.0543,0.0407,0.0096,0.0102,0.1109,0.0405,0.1021,0.0485,0.4906,0.0377,0.1751,0.1452,0.0684,0.0488,0.1493,0.0283,0.0666,0.1179,0.206,0.1,0.0663,0.0105,0.0363,0.0606,0.1708,0.0531,0.0617,0.0611,0.1258,0.1044,0.1257,0.1957,0.0323,0.0956,0.062,0.1266,0.1717,0.2239,0.0681,0.0573,0.1323,0.2197,0.0266,0.258,0.1417,0.0051,0.0279,0.0941,0.0895,0.2283,0.0194,0.1572,0.1624,0.0779,0.053,0.0468,0.1152,0.031,0.0483,0.18,0.0174,0.0432,0.0416,0.3235,0.1773,0.4781,0.3105,0.319,0.0636,0.0991,0.0837,0.1336,0.25,0.176,0.3008,0.0366,0.0759,0.0903,0.0264,0.0596,0.018,0.2079,0.0206,0.0532,0.3547,0.0932,0.0652,0.0497
MYBPHL,0.0231,0.04,0.0481,0.1427,0.039,0.024,0.0296,0.0,0.3369,0.0,0.0392,0.0334,0.0442,0.0698,0.6944,0.0421,0.3113,0.023,0.0499,0.0709,0.0224,0.0123,0.0,0.0309,0.2883,0.0813,0.0173,0.0219,0.0,0.0651,0.0314,0.0363,0.0158,0.0087,7.5221,0.0418,0.8786,0.0557,5.1904,0.3665,0.0,0.0185,0.0092,0.0327,0.1126,0.0296,0.0252,0.0193,0.0085,0.0257,0.0202,0.0191,0.1407,0.0335,0.2222,0.0404,0.019,0.0079,0.056,0.0524,0.0613,0.0107,0.0087,0.0,0.0368,0.0096,0.0598,0.0,0.0328,0.0105,0.0,0.0,0.0,0.1604,0.0,0.0,0.0,0.0,0.0164,0.031,0.0,0.0529,0.1473,0.0,0.0989,0.0,0.0,0.0086,0.0183,0.0223,0.0732,0.1054,0.0088,0.0682,0.0085,0.0198,0.0,0.0165,0.0489,0.0245,0.0307,0.015,0.6035,0.0423,0.0531,0.0218,0.0378,0.1125,0.0199,0.0,0.0436,0.0372,0.0401,0.0152,0.0283,0.2538,0.0421,0.0583,0.0484,0.0305,0.1072,0.0111,0.0674,0.082,0.0,0.0141,0.0591,0.0,0.1456,0.0582,0.0369,0.0144,0.2164,0.0323,0.0,0.0466,0.037,0.0,0.0757,0.0348,0.0563,0.0215,0.0447,0.0,0.1355,0.0157,0.0,0.0125,0.3756,0.0873,0.2546,0.0093,0.1017,0.0,0.0522,0.121,0.0783,0.1165,0.053,0.0,0.0073,0.049,0.0544,0.1143,0.0143,0.0406,0.0121,0.0074,0.0513,0.0279,0.0,0.101,0.0897
EPGN,0.0369,0.0043,0.0257,0.0138,0.0139,0.0598,0.0672,0.2016,0.0092,0.036,0.0261,0.4336,0.0188,0.0083,0.035,0.2864,0.0075,2.1121,0.0444,0.6111,0.6083,0.0787,0.031,0.17,17.703,0.053,0.0046,0.0117,0.1644,0.0217,0.0391,0.0065,2.9508,0.0648,0.116,0.1282,2.4389,0.1337,6.2735,0.0237,0.0284,0.0049,0.0542,0.0393,3.5359,0.1054,0.1255,0.072,0.0406,0.0068,0.5879,0.0204,0.0,0.1385,2.0755,0.1832,0.0101,0.4321,0.0133,0.0047,0.0,0.0057,1.3027,0.0601,0.0262,0.0615,0.0,0.1264,0.4378,0.0672,0.0715,0.0854,0.0187,0.057,0.0878,0.154,0.732,0.0488,0.0175,0.422,0.206,0.0621,0.0157,0.0274,0.0603,0.0065,0.8241,0.0046,0.1516,0.1543,0.1404,0.0632,0.2567,0.3407,2.7109,0.0685,0.1205,0.4127,0.0365,0.0087,0.0382,0.0722,0.0631,0.1849,0.051,0.174,5.1357,0.065,0.1646,0.0,0.3069,0.0743,0.3745,0.0323,0.0251,0.0,0.1077,0.0881,0.0184,0.0,0.1182,0.0295,0.0103,0.1603,0.0552,0.015,0.1665,0.158,1.3278,1.5881,0.0344,0.0153,0.0495,0.5085,0.1466,0.0497,0.8558,5.0647,0.1269,0.0464,0.015,6.1006,0.0954,0.0127,0.0144,0.6783,0.0324,0.0401,5.0509,0.0931,0.0236,0.1296,0.0361,1.2294,0.0199,0.0,0.0313,2.1203,0.0094,0.1422,0.1136,0.0418,0.0145,0.0711,0.0841,0.026,0.0258,0.0714,0.1059,0.5718,0.0075,0.0359,0.2126
LINC00941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAM83A-AS1,0.008,0.0111,0.4409,0.0,0.0,0.0446,0.7891,0.1393,0.012,0.0118,0.0,0.0543,0.0123,0.0485,0.0196,0.0293,0.4628,0.0479,0.0232,0.1151,0.0,0.0086,0.0404,0.0429,0.9503,0.0,0.036,0.0,0.2543,0.0113,0.0146,0.1516,0.11,0.1027,0.008,0.0,9.8627,0.0065,24.5163,0.0618,0.0185,0.0129,0.1992,0.0057,0.0235,0.0481,1.2103,0.0,0.0118,0.0089,1.098,0.0,0.2081,0.0175,0.0115,0.0352,0.0264,0.376,0.0043,0.0061,0.1089,0.0074,0.1815,0.0,0.0,0.0268,0.1487,0.0165,0.0229,0.0146,0.0,0.039,0.0,0.2977,0.0,0.0251,0.3157,0.0071,0.0057,0.1512,0.0168,0.0074,0.0273,0.0,0.0,0.0341,1.9255,0.0,0.0766,0.2943,0.0102,0.0,0.0244,0.1541,0.6034,0.0756,0.0503,0.4068,0.0068,0.1251,0.0071,0.1361,0.0823,0.0647,0.037,0.0076,0.3292,0.0131,0.1178,0.0286,0.0243,0.0129,0.0698,0.0,0.0,0.0186,0.0234,0.0338,0.0048,0.0,0.0149,0.0848,0.0,0.019,0.0514,0.0,0.0117,0.0111,0.3344,0.0405,0.0,0.0,3.2268,0.0112,0.0,0.0081,0.0515,0.1106,0.0452,0.0061,0.0196,0.025,0.0389,0.0166,0.0188,0.1858,0.0483,0.0,0.3702,0.0203,0.1463,0.013,0.0825,0.1599,0.0052,0.0105,0.0182,2.2095,0.0614,0.1856,0.0716,0.0136,0.0189,0.4772,0.0599,0.017,0.0,0.0052,0.0312,0.1841,0.0,1.862,0.0069
