Gene,CYP4Z2P,TCN1,DHRS2,COL9A1,HEPHL1,MYOSLID,MYBPHL,EPGN,LINC00941,FAM83A-AS1,MUC4,KRT13,DMBT1,NCAN,TSPAN1,ZP2,FAM83A,MLC1,CCDC60,BMP1,KCNJ15,ADGRF4,CYP4Z1,PADI1,CLCA2,STON2,SYTL5,AC244153.1,CAPNS2,KRT6C,MUCL1,COL5A3,TFF1,AC008147.2,BPIFB1,AL358334.2,AC011294.1,ADRA1D,LIMA1,HTRA1,LINC01605,LINC02568,CFI,LRRC31,CADPS,PTHLH,GPR1,CERCAM,ANKS4B,MUC6,NRP1,ADGRL3,THY1,AC004870.2,ADAMTS14,COL5A1,COL4A6,LRRC17,BBOX1-AS1,CHL1,SMIM3,ADAMTS12,SPTSSB,CASC18,AC113346.1,SOX8,PLPPR3,GUCY1A2,COL1A1,AKAP1,PCDH7,PCDHB12,MAB21L3,C2CD4A,COL7A1,GALNT10,ITGA3,EPHA8,Z99289.1,AC021087.4,P4HA3,MAST4,PLXDC1,LINC01828,RASGRF2,AL356515.1,HTR7,ZNF385C,MMP2,CYP3A5,PHYHIP,SMIM31,IYD,HOXB-AS3,SLC5A5,AC009041.2,EXTL1,C1QTNF6,CREG2,PLAC9,PRSS3,COL1A2,AC009078.3,SEMA3F,CCDC190,AP000844.2,AGR2,CTSK,POU3F1,MSC,AL035665.1,LINC01116,AC110995.1,PCDHGC5,ARHGAP23,ECM1,SLC45A2,F3,LINC02532,AC005077.4,AKR1B10,SRPX,GTF2IP7,ANKRD36C,AP001528.2,HOXA-AS2,MEG3,FRMD7,DHRS9,LRP1,VCAN,SPAAR,RFX8,LINC01179,HOXD11
01674b2c-5cf2-478f-84a1-f69c39f47bd4,0.3684,1.394,0.0836,0.1362,0.1398,0.2812,0.0231,0.0369,0.0,0.008,0.1227,0.0627,0.0433,0.044,2.6554,0.0118,0.225,0.186,0.0059,7.7676,0.5909,0.3353,2.0553,0.0,0.5575,1.3695,0.1264,0.2928,0.0,3.0563,14.2123,5.7913,3.3835,0.0517,0.1616,0.0215,0.0,0.1149,15.9464,130.6213,0.5335,0.4909,0.8787,0.039,0.0263,1.5978,1.096,15.2785,0.0047,0.3946,7.897,0.1161,19.8362,0.0,1.2291,30.8299,0.339,3.411,0.1209,2.5016,9.077,2.1305,1.2468,0.0254,0.0,2.4797,0.1344,0.4221,479.1241,12.7661,1.6093,0.3301,0.187,0.0177,2.7212,6.6032,10.1899,0.0037,0.0538,0.0,3.1291,2.0529,2.8954,0.0246,1.2145,0.0,0.3333,1.1951,125.5506,0.4219,0.6817,0.0191,0.0098,0.0531,0.1214,0.0,3.3656,5.5356,0.1237,5.0098,0.869,284.9651,0.0547,5.5653,0.0094,0.0,8.5126,32.188,0.2876,7.2634,0.0122,1.9384,0.7386,0.1212,7.7661,9.5644,0.063,25.3376,0.0553,0.2672,0.0573,21.149,0.0631,0.5209,1.006,0.3439,0.5865,0.3234,0.7254,34.5844,24.85,1.1962,0.3047,0.0,0.0192
016caf42-4e19-4444-ab5d-6cf1e76c4afa,0.0,0.0375,0.0,0.0045,0.0194,0.031,0.04,0.0043,0.0,0.0111,0.1452,0.1255,0.015,0.0203,1.1097,0.0,0.374,0.3018,0.0,2.9832,0.1659,0.0249,0.0437,0.0057,0.0032,0.4915,0.0,0.0902,0.0981,0.0,0.4144,1.5033,0.0286,0.0388,28.7631,0.009,0.0,0.0749,7.4697,17.1085,0.0924,0.063,0.3029,0.0405,0.0134,0.3635,0.0794,4.5566,0.0163,0.03,9.1634,0.002,5.0428,0.0088,0.9046,18.7512,0.0242,0.1841,0.0943,0.457,5.9267,1.211,0.691,0.0176,0.0,8.4417,0.0155,0.1078,193.7777,22.2422,1.8268,0.0544,0.0086,0.641,0.6898,4.9458,18.9041,0.3235,0.0466,0.0,0.3137,1.3475,0.9224,0.0034,0.4475,0.0,0.1742,0.2733,16.3835,0.5903,0.0859,0.0,0.0014,6.2492,0.2522,0.0,0.0743,1.8289,0.0179,1.225,0.1875,126.6167,0.0654,12.8141,0.0,0.0,10.9451,5.8375,0.4981,3.0019,0.0169,0.3903,1.2281,0.0728,3.6919,3.8342,0.0393,1.8519,0.7193,0.0684,0.468,1.3873,0.0492,0.5134,0.0866,0.0751,0.3022,0.0,1.1777,15.8525,10.9751,0.378,0.1163,0.0,0.0066
01eef340-598c-4205-a990-cec190ac2ca5,0.0441,0.4232,0.0394,3.0685,0.3983,0.0355,0.0481,0.0257,0.0,0.4409,0.055,0.0,0.2483,10.5645,1.2977,0.0041,3.8502,0.0,0.0164,6.42,0.3574,0.0374,0.6891,0.0,0.253,0.3251,0.0263,0.1017,0.0,1.1998,1.7479,3.1406,0.086,0.0239,0.0094,0.003,0.5762,0.0329,4.8395,19.8887,0.0649,0.2085,0.1852,0.0948,0.0135,0.9861,0.0697,8.0562,0.0196,1.5432,10.1369,1.9622,8.6486,0.1061,0.6362,9.3331,5.4914,1.033,0.1156,0.8529,3.3815,1.72,0.5462,0.0221,0.0492,0.5744,0.0052,0.1454,215.2496,15.1433,0.6404,0.233,0.0217,0.0246,0.4791,3.7917,2.2438,0.0338,0.0841,0.0,0.2793,1.3074,1.4649,0.0034,0.2545,0.034,0.0406,1.4005,14.0358,0.2041,0.1579,0.0044,0.0027,0.0074,0.0422,0.0,0.3044,1.9214,0.064,1.7066,0.1584,165.8025,0.0518,8.7114,0.0065,0.0,0.4492,5.109,0.9088,0.9347,0.0761,0.3052,1.3198,0.1656,2.9054,3.9762,0.0219,1.5887,0.002,0.0202,0.1432,3.834,0.0,0.4163,0.4603,0.0571,0.1634,0.1272,0.143,7.7684,14.842,0.2674,0.1167,0.013,0.0067
029ce650-5e5a-4100-8596-cd94300e7ef5,0.0143,1.4448,0.0576,0.674,0.1257,0.0359,0.1427,0.0138,0.0,0.0,0.2518,8.3484,0.0,0.0066,4.3894,0.0,0.1011,0.0716,0.0,2.9247,0.0816,0.0471,0.0507,0.0838,0.0311,0.806,0.2556,6.2152,0.0227,0.5007,0.3907,0.5718,0.4637,0.0,12.4243,0.0145,0.0,0.0,4.9476,38.0424,0.1799,0.0,0.0889,0.0,0.0342,2.5326,0.2173,18.7055,0.0053,0.0216,0.5821,0.0098,4.6023,0.0,0.1639,14.5751,0.2507,1.2185,0.1699,0.0254,3.102,0.4822,0.5482,0.1214,0.4769,0.2297,0.0923,0.0434,206.5302,19.2332,0.1397,0.053,0.021,0.106,0.3091,2.8604,6.1001,0.0588,0.0,0.0,1.2922,0.1974,0.318,0.0028,0.3474,0.0,0.0131,3.3048,20.6027,0.2951,0.1045,0.0,0.0,0.0,0.0124,0.0,0.1858,2.4014,0.0388,3.9739,0.2722,114.7497,0.0,4.5759,0.0,0.0448,69.5706,4.3644,0.0,0.5614,0.0,3.5089,0.0593,0.0,4.1166,4.0602,0.0354,1.7074,0.0082,0.0196,0.0,25.3162,0.0177,0.0825,0.1966,0.0672,0.0894,0.0,0.0548,4.833,2.5956,0.9669,0.1467,0.0,0.3019
045c13ef-3db7-4adf-b0a3-23338f0479f3,0.0143,0.1373,0.1155,0.0073,0.3151,0.18,0.039,0.0139,0.0,0.0,0.0414,0.0471,0.0049,0.281,1.6604,0.0066,0.0616,0.018,0.0,7.3846,0.4225,0.0742,0.3556,0.014,0.0935,0.2694,0.0237,0.1283,0.2051,0.5571,0.1556,8.0614,0.0,0.0485,0.0,0.0097,0.0,0.099,9.069,98.4099,0.466,0.1537,0.1502,0.0146,0.014,0.6585,0.3068,17.0412,0.0159,0.0352,7.6587,0.0474,21.4797,0.0,1.303,69.3051,0.668,15.3362,0.1022,0.0998,8.464,6.429,4.9057,0.043,0.2392,1.9603,0.0168,0.3774,939.7478,36.1778,1.1431,0.3247,0.0281,0.0199,4.7882,5.0287,5.7116,0.0253,0.1061,0.0,4.1973,0.9588,3.9825,0.0111,0.757,0.0551,0.1581,0.6998,103.0718,0.282,0.2735,0.0,0.0088,0.0359,0.0062,0.0,0.5239,4.6949,0.1102,0.9779,0.1606,579.526,0.112,7.8223,0.0,0.0,1.1423,25.8393,0.054,2.7827,0.0274,0.5919,0.3092,0.1001,2.9845,16.274,0.0497,5.145,0.0115,0.0524,0.0645,6.6783,0.0178,1.1154,0.4788,0.2275,0.4739,0.055,0.0671,29.2921,28.3563,0.7726,0.2593,0.0106,0.0108
05506f4c-e701-4a9d-ae06-97f066aade43,0.0,0.0282,0.0225,2.2765,0.3204,0.0843,0.024,0.0598,0.0,0.0446,0.0013,0.0097,0.0015,3.1461,1.5529,0.0,0.1696,0.0554,0.0,4.5592,0.225,0.1372,0.0,0.0403,0.0192,0.5884,0.0351,0.0113,0.014,0.4497,0.0071,4.2408,0.0,0.009,0.0047,0.0359,0.0,0.0282,3.5737,13.5742,0.2501,0.0253,0.1041,0.0767,0.0115,0.3147,0.0995,5.4899,0.0,0.0568,3.4328,0.0363,6.4025,0.0,0.7195,20.1464,0.0592,0.1397,0.2415,0.2014,4.5255,1.2185,0.4744,0.0265,0.393,6.2301,0.2334,0.16,231.4708,26.5007,0.1623,0.0509,0.0173,0.0532,2.4212,4.0289,6.3727,0.013,0.0187,0.0,0.6326,0.6217,0.483,0.0017,0.3004,0.1699,0.0528,1.785,59.4736,0.1551,0.2116,0.0,0.0095,0.0,0.023,0.0,2.0179,2.6804,0.0559,0.6823,0.1484,119.2222,0.0898,2.653,0.0,0.0,0.7193,7.7806,0.1474,2.4758,0.0169,0.4842,0.2052,0.0477,0.986,5.2625,0.0044,2.3599,0.0152,0.0081,0.008,4.7617,0.0164,0.301,0.0911,0.1194,0.1002,0.017,0.0978,6.6356,7.0647,0.1798,0.2505,0.0,0.0133
0685edd2-ce1c-4e0e-8dda-393139af4223,0.2529,668.1213,0.0294,0.0146,0.0269,0.0698,0.0296,0.0672,0.0,0.7891,12.0483,0.0358,300.2248,0.0,73.0707,0.0,12.9963,0.0375,0.0114,20.3025,2.8264,0.0154,6.2467,0.0106,0.8729,6.4136,0.1704,0.0627,0.0909,2.4188,3.953,6.5101,0.053,0.0719,2.2875,0.0277,0.2663,0.0434,24.8429,94.693,0.2056,37.2501,4.3646,0.0,0.0756,0.8615,0.5981,11.5334,0.0,0.0541,26.0287,3.1208,14.4981,0.5313,1.3328,47.4164,0.111,2.043,0.0777,2.1551,9.1513,5.3222,4.8947,0.0122,0.0909,0.1021,0.024,0.4174,665.7232,15.0615,2.314,0.7234,0.004,0.053,1.6746,11.6277,38.9011,0.0,0.0432,0.0,2.137,7.8012,2.175,0.0,0.9868,0.0628,0.6233,0.2007,68.1575,0.2975,10.2217,0.0,0.005,0.2931,6.6357,0.0,0.1837,3.1572,0.024,1.2722,0.0274,418.8221,0.0766,17.4248,0.003,0.0256,33.1268,16.6415,8.2007,23.1504,0.0156,0.9444,1.213,0.0233,1.8556,5.1723,0.0324,202.7458,0.0019,0.1753,0.5294,5.3147,0.076,4.4462,0.3933,0.7946,0.288,0.0196,8.8899,22.1699,37.3708,0.31,0.1957,0.0,0.0
08da7c4c-3067-4bcf-9d7a-78566df72e69,0.2203,3.8337,0.039,1.2713,0.1549,0.0739,0.0,0.2016,0.0,0.1393,0.0614,19.9291,0.0709,0.0141,2.1788,0.0,2.5669,1.1364,0.0057,7.1768,0.1929,0.4038,0.0,0.1277,0.4573,0.1627,0.0284,0.3291,0.5065,2.3745,2.7239,5.1098,0.0795,0.0083,0.3049,0.0083,0.1612,0.013,8.0382,69.5286,0.3084,0.1051,0.2688,0.0063,0.0213,0.5802,0.3382,15.2921,0.0045,0.0162,5.7192,0.0671,11.03,0.0245,0.6993,36.0332,0.0653,1.3976,0.0728,0.1137,5.487,4.3091,1.7758,0.0061,0.2726,14.3745,0.5036,0.2147,638.0706,15.4684,1.1689,0.4038,0.024,0.0397,1.8074,3.0842,6.5592,0.0216,0.0259,0.0,1.9511,1.6434,1.118,0.0047,0.5851,0.0471,0.0225,0.5343,58.9828,0.3387,0.1592,0.0061,0.017,0.0716,0.0691,0.0,0.8398,3.1404,0.0139,0.7098,0.851,351.9916,0.0575,11.2349,0.1677,0.0,1.2879,16.0146,0.0594,2.6752,0.0352,0.8096,0.488,0.0467,2.6798,8.4468,0.0121,36.0223,0.0673,0.0448,14.121,5.1188,0.0228,0.1893,0.1686,0.0684,0.1946,0.0,0.266,8.8989,15.6713,0.0741,0.1258,0.009,0.0462
0dca98b0-f43e-45b6-9a02-00092c78678c,0.0095,0.5471,0.107,8.9258,0.0549,0.1148,0.3369,0.0092,0.0,0.012,0.0123,0.4695,0.0227,0.0242,0.3334,0.0044,0.0048,0.0199,0.0044,6.4834,0.1896,0.1524,0.0742,0.0093,0.069,0.2393,0.0599,0.1339,0.0908,0.2137,0.0574,5.619,0.0,0.0129,4.8791,0.0064,0.0163,0.0961,7.3734,194.8692,0.9186,0.0204,0.4364,0.0097,0.0984,0.9819,0.4236,12.3475,0.0105,0.0252,10.6095,0.1238,22.326,0.0,0.8573,74.7227,0.0639,6.069,0.0679,0.4951,11.4798,8.6086,0.1704,0.0761,0.4766,39.9534,0.2068,0.4762,945.5879,24.1298,2.6178,0.4902,0.056,0.0265,1.8558,6.8107,30.1345,0.0755,0.0504,0.0,5.5836,1.0511,4.0508,0.0111,0.9849,0.1465,0.2582,2.1868,109.2672,0.1827,0.2551,0.0476,0.0073,0.2701,0.0041,0.0,52.4993,7.2304,0.0603,1.9854,0.2453,668.8552,0.1861,5.7373,0.0035,0.0,0.044,36.0893,0.205,4.0131,0.0182,4.1745,0.6477,0.1542,5.2248,26.947,0.0896,2.1642,0.0109,0.0348,0.0686,11.3344,0.0059,0.1985,0.1544,0.4197,0.7283,0.0091,0.1013,43.5007,43.9295,9.0123,0.647,0.0,0.0287
0ec70e40-07df-461d-8ff9-351240a0d454,0.0744,0.0991,0.0513,44.585,0.1739,0.0,0.0,0.036,0.0,0.0118,0.0608,0.1224,0.0063,0.0258,1.8307,0.0,0.0376,8.3061,0.0,7.712,0.0144,0.0438,0.0264,0.0,0.027,2.3205,0.111,0.0952,0.1776,0.4892,0.1871,14.7818,0.0,0.0,6.9093,0.1135,0.0,0.0099,2.0181,73.4737,0.8981,0.0932,0.0061,0.0,0.0041,0.0785,1.7931,25.553,0.0,0.0387,13.3807,0.274,4.2853,0.0,0.3097,89.5532,0.0448,4.2047,0.0443,0.0102,1.7959,1.4789,0.7776,0.093,0.1035,1.3562,0.2077,0.1148,47.9128,10.2396,0.0267,0.0997,0.1004,0.0776,0.4375,6.1977,4.0959,0.3336,0.1379,0.0,2.1524,0.403,0.7,0.0144,0.2559,0.0,0.0941,1.5207,138.5889,0.5025,0.1134,0.0,0.0,0.0777,0.0081,0.0,18.9804,1.5807,0.2273,2.8519,0.4588,389.1647,0.0509,4.1441,0.0,0.0,0.215,0.5277,0.5512,0.3797,0.0,3.9557,0.8649,0.272,4.1817,8.1633,0.0,0.9679,0.0,0.3401,0.0168,7.2386,0.1039,0.8665,0.1921,0.0492,0.11,0.2054,0.1347,32.9325,0.9252,16.5072,0.1092,0.0,0.014
