Gene,CYP4Z2P,TCN1,DHRS2,COL9A1,HEPHL1,MYOSLID,MYBPHL,EPGN,LINC00941,FAM83A-AS1,MUC4,KRT13,C8orf46,DMBT1,NCAN,TSPAN1,ZP2,FAM83A,MLC1,CCDC60,BMP1,KCNJ15,ADGRF4,CYP4Z1,PADI1,CLCA2,STON2,SYTL5,AC244153.1,CAPNS2,KRT6C,MUCL1,COL5A3,TFF1,AC008147.2,BPIFB1,AL358334.2,AC011294.1,ADRA1D,LIMA1,HTRA1,LINC01605,FAM212A,LINC02568,CFI,LRRC31,CADPS,PTHLH,C9orf84,GPR1,CERCAM,ANKS4B,AL590644.1,MUC6,NRP1,ADGRL3,THY1,AC004870.2,ADAMTS14,COL5A1,COL4A6,LRRC17,BBOX1-AS1,CHL1,SMIM3,ADAMTS12,SPTSSB,CASC18,AC113346.1,SOX8,PLPPR3,GUCY1A2,COL1A1,AKAP1,PCDH7,PCDHB12,MAB21L3,C2CD4A,COL7A1,GALNT10,FAM198A,ITGA3,EPHA8,Z99289.1,AC021087.4,P4HA3,MAST4,PLXDC1,LINC01828,RASGRF2,AL356515.1,HTR7,ZNF385C,MMP2,CYP3A5,PHYHIP,SMIM31,IYD,HOXB-AS3,SLC5A5,AC009041.2,EXTL1,C1QTNF6,CREG2,PLAC9,PRSS3,FAM19A3,COL1A2,AC009078.3,SEMA3F,CCDC190,AP000844.2,AGR2,CTSK,POU3F1,MSC,AL035665.1,LINC01116,AC110995.1,PCDHGC5,ARHGAP23,ECM1,SLC45A2,F3,LINC02532,AC005077.4,AKR1B10,SRPX,GTF2IP7,ANKRD36C,AP001528.2,HOXA-AS2,MEG3,FRMD7,DHRS9,LRP1,VCAN,SPAAR,RFX8,LINC01179,HOXD11,M
01674b2c-5cf2-478f-84a1-f69c39f47bd4,1.1691,4.4237,0.2653,0.4321,0.4436,0.8922,0.0732,0.1172,0.0,0.0255,0.3892,0.199,,0.1374,0.1396,8.4266,0.0373,0.7139,0.5901,0.0188,24.6496,1.875,1.0639,6.5223,0.0,1.7692,4.346,0.401,0.9292,0.0,9.6987,45.1006,18.3779,10.7371,0.164,0.5128,0.0683,0.0,0.3646,50.6038,414.5086,1.6931,,1.5579,2.7883,0.1237,0.0835,5.0706,,3.478,48.4843,0.0149,,1.2521,25.06,0.3684,62.9473,0.0,3.9005,97.8344,1.0758,10.8244,0.3838,7.9385,28.8047,6.7608,3.9565,0.0807,0.0,7.8691,0.4265,1.3393,1520.4338,40.5114,5.1069,1.0474,0.5936,0.0561,8.6354,20.9545,,32.3361,0.0119,0.1708,0.0,9.9298,6.5147,9.1883,0.0781,3.8541,0.0,1.0576,3.7925,398.4174,1.3387,2.1633,0.0606,0.0311,0.1684,0.3851,0.0,10.6803,17.5665,0.3924,15.8978,2.7577,,904.2972,0.1735,17.6608,0.0299,0.0,27.0136,102.144,0.9126,23.0494,0.0386,6.1513,2.3439,0.3845,24.6448,30.3514,0.1999,80.4053,0.1756,0.8479,0.1817,67.1135,0.2002,1.653,3.1924,1.0913,1.8613,1.0263,2.302,109.7489,78.8581,3.7961,0.9668,0.0,0.0609,
016caf42-4e19-4444-ab5d-6cf1e76c4afa,0.0,0.1394,0.0,0.0167,0.072,0.1151,0.1486,0.0158,0.0,0.0413,0.5395,0.4665,,0.0557,0.0755,4.1236,0.0,1.3899,1.1215,0.0,11.0853,0.6165,0.0925,0.1624,0.0213,0.0119,1.8263,0.0,0.335,0.3644,0.0,1.5398,5.5859,0.1062,0.1442,106.8798,0.0333,0.0,0.2784,27.7563,63.5728,0.3434,,0.234,1.1256,0.1505,0.0499,1.3507,,0.2951,16.9316,0.0604,,0.1115,34.0501,0.0075,18.7383,0.0328,3.3614,69.6769,0.0901,0.684,0.3502,1.6982,22.0227,4.4997,2.5677,0.0654,0.0,31.3684,0.0577,0.4006,720.052,82.649,6.7881,0.2023,0.0321,2.3817,2.5633,18.3781,,70.245,1.2022,0.1732,0.0,1.1657,5.0071,3.4276,0.0127,1.6628,0.0,0.6472,1.0155,60.8788,2.1933,0.3191,0.0,0.005,23.2211,0.9373,0.0,0.2761,6.796,0.0666,4.5518,0.6968,,470.4908,0.2431,47.6155,0.0,0.0,40.6707,21.6915,1.8507,11.1547,0.0626,1.4503,4.5633,0.2704,13.7186,14.2474,0.1459,6.8812,2.6729,0.2542,1.7391,5.1551,0.1827,1.9078,0.3217,0.2791,1.1229,0.0,4.376,58.9056,40.7821,1.4047,0.4322,0.0,0.0247,
01eef340-598c-4205-a990-cec190ac2ca5,0.1278,1.225,0.1139,8.8816,1.1528,0.1028,0.1393,0.0743,0.0,1.2761,0.1593,0.0,,0.7187,30.5787,3.7561,0.0118,11.1443,0.0,0.0476,18.5827,1.0345,0.1084,1.9946,0.0,0.7322,0.9409,0.0762,0.2945,0.0,3.4729,5.0593,9.0904,0.249,0.0693,0.0271,0.0087,1.6679,0.0952,14.008,57.5676,0.1878,,0.6035,0.5361,0.2744,0.039,2.8542,,0.2017,23.3186,0.0567,,4.4667,29.3412,5.6797,25.0334,0.3072,1.8414,27.0145,15.8948,2.99,0.3345,2.4688,9.7876,4.9784,1.581,0.0639,0.1423,1.6626,0.015,0.4207,623.0364,43.8321,1.8535,0.6744,0.0627,0.0711,1.3868,10.9751,,6.4947,0.0977,0.2435,0.0,0.8085,3.7843,4.2401,0.0099,0.7366,0.0984,0.1176,4.0536,40.6263,0.5907,0.4571,0.0128,0.0079,0.0213,0.1221,0.0,0.8811,5.5616,0.1851,4.9397,0.4585,,479.9127,0.15,25.2149,0.0189,0.0,1.3001,14.7878,2.6305,2.7056,0.2202,0.8835,3.8203,0.4794,8.4095,11.509,0.0633,4.5985,0.0059,0.0584,0.4146,11.0975,0.0,1.2049,1.3322,0.1654,0.473,0.3682,0.4138,22.4855,42.96,0.7739,0.3377,0.0378,0.0193,
029ce650-5e5a-4100-8596-cd94300e7ef5,0.0417,4.2232,0.1683,1.97,0.3673,0.1049,0.417,0.0404,0.0,0.0,0.7359,24.4018,,0.0,0.0193,12.8299,0.0,0.2956,0.2094,0.0,8.5487,0.2386,0.1376,0.148,0.2448,0.0908,2.3559,0.7471,18.1664,0.0664,1.4635,1.1419,1.6712,1.3553,0.0,36.3154,0.0424,0.0,0.0,14.4615,111.195,0.5257,,0.0,0.2599,0.0,0.1,7.4025,,0.6353,54.6746,0.0154,,0.0632,1.7015,0.0286,13.4523,0.0,0.4792,42.602,0.7328,3.5617,0.4965,0.0741,9.0669,1.4093,1.6025,0.3548,1.394,0.6713,0.2698,0.1268,603.6719,56.2172,0.4083,0.1549,0.0614,0.3097,0.9035,8.3606,,17.8302,0.1718,0.0,0.0,3.7769,0.5771,0.9294,0.0081,1.0155,0.0,0.0384,9.6597,60.2202,0.8626,0.3053,0.0,0.0,0.0,0.0362,0.0,0.5432,7.0191,0.1134,11.6155,0.7955,,335.4046,0.0,13.375,0.0,0.131,203.3495,12.7569,0.0,1.641,0.0,10.2563,0.1733,0.0,12.0324,11.8677,0.1034,4.9907,0.0239,0.0572,0.0,73.9973,0.0518,0.2411,0.5747,0.1964,0.2613,0.0,0.16,14.1265,7.5867,2.8263,0.4289,0.0,0.8824,
045c13ef-3db7-4adf-b0a3-23338f0479f3,0.0518,0.4966,0.4178,0.0264,1.1397,0.6512,0.1411,0.0502,0.0,0.0,0.1496,0.1705,,0.0177,1.0165,6.0061,0.024,0.2227,0.065,0.0,26.7119,1.5284,0.2685,1.2862,0.0506,0.3381,0.9746,0.0858,0.4642,0.7419,2.015,0.5627,29.1602,0.0,0.1756,0.0,0.0351,0.0,0.3581,32.8048,355.973,1.6856,,0.5559,0.5432,0.053,0.0508,2.3819,,1.1097,61.6422,0.0574,,0.1275,27.7036,0.1715,77.6973,0.0,4.7134,250.6938,2.4162,55.475,0.3697,0.3609,30.6164,23.2552,17.7451,0.1554,0.8651,7.091,0.0609,1.3653,3399.3024,130.8642,4.1349,1.1746,0.1017,0.0721,17.3202,18.1902,,20.6601,0.0914,0.3839,0.0,15.1828,3.4683,14.4057,0.0401,2.7381,0.1994,0.5721,2.5315,372.8365,1.02,0.9895,0.0,0.0319,0.1298,0.0225,0.0,1.895,16.9827,0.3986,3.5373,0.5808,,2096.2902,0.4053,28.2951,0.0,0.0,4.132,93.4673,0.1954,10.0658,0.0992,2.141,1.1184,0.3623,10.7955,58.8671,0.1797,18.6107,0.0416,0.1894,0.2334,24.1571,0.0643,4.0347,1.7321,0.8229,1.714,0.199,0.2428,105.9569,102.5717,2.7947,0.9378,0.0383,0.0391,
05506f4c-e701-4a9d-ae06-97f066aade43,0.0,0.0933,0.0744,7.5322,1.0601,0.279,0.0796,0.198,0.0,0.1476,0.0044,0.032,,0.005,10.4094,5.1378,0.0,0.5613,0.1831,0.0,15.0846,0.7443,0.454,0.0,0.1332,0.0635,1.9469,0.1161,0.0374,0.0465,1.4879,0.0235,14.0311,0.0,0.0297,0.0155,0.1188,0.0,0.0932,11.824,44.9116,0.8276,,0.0836,0.3445,0.2538,0.0382,1.0413,,0.3292,18.1639,0.0,,0.188,11.3576,0.12,21.1833,0.0,2.3804,66.6566,0.196,0.4621,0.799,0.6662,14.9733,4.0315,1.5696,0.0876,1.3004,20.6131,0.7721,0.5293,765.8466,87.6804,0.537,0.1686,0.0573,0.1761,8.0108,13.3302,,21.0849,0.0429,0.0618,0.0,2.093,2.0569,1.598,0.0057,0.9938,0.5621,0.1747,5.9057,196.7749,0.5132,0.7002,0.0,0.0315,0.0,0.0761,0.0,6.6765,8.8683,0.1851,2.2574,0.4911,,394.4597,0.297,8.7777,0.0,0.0,2.3799,25.743,0.4878,8.1914,0.0559,1.6019,0.6789,0.1578,3.2623,17.4117,0.0145,7.8079,0.0502,0.0267,0.0263,15.7546,0.0544,0.9958,0.3015,0.3951,0.3315,0.0561,0.3235,21.9545,23.3744,0.5948,0.8288,0.0,0.0441,
0685edd2-ce1c-4e0e-8dda-393139af4223,0.8856,2339.4237,0.1031,0.051,0.0943,0.2443,0.1038,0.2352,0.0,2.7629,42.187,0.1254,,1051.2357,0.0,255.8567,0.0,45.5063,0.1314,0.0399,71.0892,9.8965,0.0538,21.8727,0.0372,3.0565,22.4573,0.5967,0.2195,0.3183,8.4695,13.8413,22.7951,0.1856,0.2518,8.0097,0.0968,0.9323,0.152,86.9874,331.5672,0.7199,,130.431,15.2825,0.0,0.2646,3.0166,,2.0941,40.3843,0.0,,0.1894,91.1393,10.9274,50.7651,1.8604,4.6668,166.0284,0.3885,7.1536,0.2719,7.546,32.0432,18.6358,17.1389,0.0429,0.3181,0.3574,0.0839,1.4614,2331.0268,52.7379,8.1023,2.5329,0.014,0.1855,5.8636,40.7143,,136.2121,0.0,0.1513,0.0,7.4826,27.3159,7.6159,0.0,3.4553,0.22,2.1826,0.7026,238.6533,1.0416,35.7914,0.0,0.0176,1.0261,23.2348,0.0,0.6433,11.0549,0.0841,4.4546,0.0961,,1466.5037,0.2683,61.0129,0.0106,0.0897,115.9935,58.2701,28.7146,81.0611,0.0547,3.3068,4.2471,0.0817,6.4973,18.1109,0.1133,709.9135,0.0065,0.6139,1.8538,18.6096,0.266,15.5684,1.377,2.7823,1.0084,0.0686,31.1278,77.6277,130.8536,1.0854,0.6851,0.0,0.0,
08da7c4c-3067-4bcf-9d7a-78566df72e69,0.745,12.9626,0.1318,4.2985,0.5237,0.2498,0.0,0.6816,0.0,0.4709,0.2076,67.3844,,0.2399,0.0478,7.367,0.0,8.6792,3.8425,0.0193,24.2663,0.6523,1.3652,0.0,0.4316,1.5461,0.5503,0.096,1.1129,1.7127,8.0288,9.21,17.2774,0.2688,0.0281,1.031,0.0281,0.545,0.044,27.1788,235.0903,1.0429,,0.3554,0.9089,0.0212,0.0722,1.9617,,1.1435,51.7057,0.0153,,0.0549,19.3379,0.2269,37.2948,0.0829,2.3645,121.8355,0.2209,4.7256,0.2462,0.3846,18.5526,14.5698,6.0043,0.0207,0.9218,48.6031,1.7026,0.726,2157.4467,52.3017,3.9523,1.3654,0.0812,0.1344,6.1112,10.4282,,22.1779,0.073,0.0877,0.0,6.597,5.5568,3.7802,0.016,1.9783,0.1594,0.0762,1.8067,199.433,1.1453,0.5384,0.0207,0.0574,0.242,0.2336,0.0,2.8394,10.6184,0.0468,2.4001,2.8775,,1190.1551,0.1943,37.9876,0.567,0.0,4.3548,54.1487,0.2007,9.0455,0.1189,2.7375,1.65,0.1579,9.0609,28.5604,0.041,121.7988,0.2277,0.1514,47.746,17.3078,0.0771,0.6402,0.57,0.2314,0.6578,0.0,0.8994,30.0891,52.9879,0.2507,0.4254,0.0306,0.1563,
0dca98b0-f43e-45b6-9a02-00092c78678c,0.0384,2.2089,0.432,36.0393,0.2218,0.4635,1.3604,0.0372,0.0,0.0485,0.0496,1.8957,,0.0916,0.0975,1.3463,0.0178,0.0194,0.0803,0.0179,26.1776,0.7654,0.6152,0.2997,0.0375,0.2785,0.9661,0.2419,0.5408,0.3667,0.8627,0.2318,22.6873,0.0,0.0521,19.7,0.026,0.066,0.3881,29.7712,786.8116,3.7089,,0.0824,1.7621,0.0393,0.3975,3.9644,,1.7104,49.8547,0.0426,,0.1018,42.8372,0.5,90.1442,0.0,3.4615,301.7031,0.2578,24.5045,0.2741,1.9991,46.3511,34.7583,0.6881,0.3073,1.9241,161.3176,0.835,1.9229,3817.9429,97.4273,10.5696,1.9793,0.2261,0.1069,7.4932,27.4993,,121.6724,0.3049,0.2033,0.0,22.5444,4.2439,16.3557,0.0446,3.9768,0.5914,1.0427,8.8296,441.1815,0.7375,1.0302,0.1923,0.0296,1.0905,0.0167,0.0,211.9732,29.1936,0.2434,8.0162,0.9904,,2700.5958,0.7512,23.1653,0.0142,0.0,0.1776,145.7155,0.8278,16.2036,0.0735,16.8549,2.6151,0.6226,21.0959,108.8024,0.3617,8.7382,0.044,0.1404,0.2769,45.7644,0.0238,0.8015,0.6232,1.6947,2.9406,0.0369,0.4091,175.6401,177.3714,36.3882,2.6122,0.0,0.116,
0ec70e40-07df-461d-8ff9-351240a0d454,0.2481,0.3304,0.1712,148.7151,0.5802,0.0,0.0,0.1202,0.0,0.0392,0.2028,0.4083,,0.0211,0.0859,6.1063,0.0,0.1255,27.7055,0.0,25.7238,0.0479,0.1462,0.088,0.0,0.09,7.74,0.3702,0.3177,0.5924,1.6316,0.624,49.3054,0.0,0.0,23.0464,0.3785,0.0,0.033,6.7316,245.0744,2.9958,,0.3107,0.0203,0.0,0.0135,0.262,,5.9809,85.2331,0.0,,0.1292,44.6317,0.9139,14.2937,0.0,1.0329,298.7081,0.1495,14.0251,0.1476,0.0339,5.9902,4.9329,2.5939,0.3102,0.3454,4.5237,0.6927,0.383,159.8151,34.1545,0.089,0.3325,0.3349,0.259,1.4594,20.6725,,13.6619,1.1127,0.4598,0.0,7.1795,1.3441,2.3348,0.0481,0.8536,0.0,0.314,5.0724,462.2689,1.6761,0.3782,0.0,0.0,0.2591,0.0269,0.0,63.31,5.2725,0.7583,9.5125,1.5303,,1298.0745,0.1699,13.8229,0.0,0.0,0.7172,1.7602,1.8387,1.2666,0.0,13.1946,2.8851,0.9072,13.9483,27.2291,0.0,3.2285,0.0,1.1344,0.0559,24.1445,0.3466,2.8902,0.6407,0.1643,0.3671,0.6852,0.4494,109.8476,3.0862,55.0604,0.3643,0.0,0.0468,
